	термин	частота (ipm)	1960-е	1970-е	1980-е	1990-е	2000-е	2010-е	2020-е	DP	D	R		
0	русский язык	4609,11	2686,8	1891,3	3373,6	3965,1	4351,1	3109,8	1940	0,1868	95,66	123		
1	английский язык	1153,74	40,7	75,6	941,2	873,2	1022,9	927,5	484,8	0,3939	91,84	123		
2	литературный язык	787,13	1026,8	1011	1027,8	830,1	673,3	400,1	214,4	0,2229	95,36	123		
3	картина мир	730,77	1,2	2,3	7	257,6	694,6	723,6	422,2	0,2935	93,7	122		
4	немецкий язык	443,49	33,5	52,8	400,6	352,7	424,4	302,9	152,8	0,3835	91,03	123		
5	языковой личность	363,68	0	0	0,1	142,2	340,4	365,6	182,4	0,3407	92,81	114		
6	русский речь	340,31	448,8	223	268,2	470,4	275,7	226,6	191,8	0,2456	94,41	123		
7	тюркский язык	340,27	74,2	1612,7	830	186,7	174	140,6	132,1	0,5512	86,01	122		
8	языковой картина	314,63	0	0,3	1,9	94	296	321,6	134	0,3068	93,35	122		
9	фразеологический единица	301,7	8,4	69,3	238,1	261,7	267,7	232,4	80,4	0,2897	93,52	123		
580	часть речь	288,34	68,2	171,4	268,4	272	269,3	177,4	79	0,196	95,25	123		
977	значение слово	286,83	288,4	240	319,4	294,9	257,7	158,5	127,4	0,1528	96,6	123		
30	логический анализ	271,97	15,6	24	75,1	173,2	290,8	195,5	70,1	0,2445	94,84	123		
11	французский язык	271,5	50,3	42,5	240,1	199,2	252,5	193,3	203,6	0,3362	92,16	123		
10	зарубежный лингвистика	262,65	0	2,3	85,9	271,8	284,1	161,8	43,7	0,3138	92,87	123		
24	анализ язык	251,96	7,2	12,7	43,7	158,3	272,2	184,7	72,9	0,273	94,22	123		
12	семантический поле	242,35	3,6	8	102,4	191,7	248,9	168,6	162,2	0,252	94,5	123		
13	иностранный язык	240,15	33,5	41,8	217,1	201,7	213,3	178,1	143,4	0,2865	94,11	123		
42	славянский язык	239,17	313,6	220,7	254	275,4	192,7	151,9	121,3	0,2006	95,17	123		
14	семантический структура	237,45	4,8	35,5	307,2	273,3	232	117,9	40,4	0,251	94,07	123		
15	когнитивный лингвистика	234,03	0	0	0	33,2	187,9	284,4	207,3	0,3935	91,46	111		
16	разговорный речь	232,99	333,9	165,2	271,6	259,8	218	111,1	136,4	0,1976	95,54	123		
17	настоящий время	231,77	150,8	304,9	250,3	168,6	161,1	188	235,6	0,1159	97,38	123		
18	лексический единица	228,29	9,6	50,6	160,2	157,2	212,2	173,9	142,5	0,1727	96,13	123		
19	речевой акт	224,15	20,3	3,8	43	197,6	229,1	165,7	111,4	0,2956	93,25	123		
20	языковой единица	215,79	8,4	19,6	90,5	190,2	218,9	150,4	80,9	0,2131	95,21	123		
21	языковой сознание	209,85	14,4	3,6	5,6	60,4	199,8	210,7	82,8	0,3582	91,84	123		
25	система язык	201,45	20,3	38,9	157	194,9	197,2	128,1	56	0,2133	95,38	123		
22	речевой деятельность	192,74	25,1	7,7	74,9	175,2	195,4	135,5	71,9	0,257	94,39	123		
23	лексический значение	191,17	33,5	72,2	191	211,9	185,8	102,6	75,7	0,2045	95,51	123		
26	языковой средство	180,41	69,4	26,8	94,3	128,9	165,7	146,7	108,1	0,2129	95,23	123		
978	лингвистика текст	180,18	0	6	102,7	120,9	158,4	162,5	25,9	0,3305	92,62	120		
29	татарский язык	175,21	3,6	242,6	148	87,1	159,2	118,9	38,6	0,5494	85,28	122		
27	имя существительное	169,03	100,5	117	189,6	159,8	156,9	96	26,8	0,2319	94,45	123		
28	межкультурный коммуникация	161,95	0	0	0,7	9,8	137,4	191,2	119,9	0,4168	90,87	110		
983	русский слово	153,96	201,1	121,6	153,1	137,5	141,7	90,8	41,4	0,2542	94,05	123		
31	грамматический категория	147,9	27,5	74,7	150,5	163,8	134,6	89	39	0,1861	95,83	123		
32	сложный предложение	147,47	29,9	141,3	167,8	184,7	146,1	57,3	27,7	0,2807	93,79	123		
33	русский грамматика	145,2	40,7	27,3	115,3	163,9	138,4	90,9	39,5	0,2097	95,08	123		
35	политический дискурс	139,18	0	0	0,5	17	106,5	175,8	135,4	0,4469	89,47	114		
34	простой предложение	137,41	21,5	66	161,8	175	125,1	73,8	21,6	0,2542	94,2	123		
36	общий языкознание	132,85	7,2	27,1	115,9	103,2	126,2	92,2	41,8	0,2175	95,44	123		
37	языковой система	130,73	28,7	22,7	77,2	124,5	125,1	91,9	51,7	0,1853	96,05	123		
39	носитель язык	130,01	25,1	11,8	36,6	90,2	120	112,5	104,4	0,1713	95,78	123		
46	лингвистический анализ	129,26	10,8	16,2	66,9	109,1	125,7	94,2	62,1	0,2005	95,82	123		
38	речевой жанр	129,15	1,2	0,2	7	46,3	123,3	127,5	32,9	0,3762	91,5	119		
53	теория язык	127,79	4,8	8,3	56,7	79,6	120,2	108,5	42,3	0,3055	92,85	123		
40	семантический группа	127,12	3,6	24	132,2	118,9	124,4	74,3	50,8	0,2472	94,37	123		
48	лингвистический термин	125,32	10,8	15,5	67,4	90,9	116,4	101,3	54,5	0,2517	94,56	123		
41	язык славянский	123,56	6	2,8	1,8	7,2	83	172	115,7	0,3795	91,99	121		
110	лингвистический аспект	123,27	3,6	4,2	31,2	86,2	121,4	100,7	51,7	0,2635	94,39	123		
43	речевой поведение	121,84	18	2,1	13,4	79,4	123,8	99,9	48,4	0,303	92,64	123		
47	структура слово	119,56	10,8	45,4	170,4	129,7	117,4	53,5	22,1	0,2574	93,77	123		
69	история язык	116,32	59,8	83,3	122,9	104,3	102,9	74,3	41,8	0,1469	96,59	123		
52	русский глагол	114,22	13,2	14,1	81,8	141,4	114,8	62,6	69,6	0,2614	93,52	123		
45	семантический анализ	113,56	2,4	10,5	100,2	101,8	108,1	76,7	39	0,2032	95,66	123		
44	речевой общение	112,62	12	5,9	24,4	93,8	112,1	88,1	34,3	0,2883	93,77	123		
54	русский литература	112,6	83,8	82,2	77,5	108,1	101,5	76,1	41,8	0,276	93,6	123		
980	новый слово	110,38	124,5	108,8	114,8	117,3	95,8	63,5	61,1	0,2276	94,72	123		
979	культура речь	110,08	169,9	66	94,8	122	98,8	68,7	12,2	0,1887	95,58	123		
64	германский язык	109,27	12	14,2	137,9	115,9	100,4	65,6	16	0,3975	90,21	123		
57	сложный слово	109,19	62,2	164,2	122,3	64	99,3	62,3	35,3	0,2775	93,36	123		
49	прагматический аспект	105,81	0	0,2	21,2	83,6	111,4	76,6	47,5	0,3111	93,47	120		
981	структура текст	105,08	2,4	3,3	46,6	93,5	113,4	65,5	19,3	0,2788	93,99	123		
982	поэтический текст	102,58	13,2	5,7	15,4	69,8	110,9	73,5	46,5	0,3509	92,32	123		
66	родной язык	101,27	93,3	94,4	96,5	92	77,6	74,8	125,5	0,2153	95,1	123		
60	единица язык	100,3	10,8	19	68,6	107,9	98,6	62,5	37,6	0,2181	95,16	123		
50	функциональный грамматика	100,07	0	0,2	18,5	111,6	104,7	67,8	9,9	0,2753	94,24	120		
51	ключевой слово	98,21	0	11,4	13,2	23,3	76	115	125,5	0,3098	92,77	123		
155	аспект язык	97,52	4,8	3,9	26,1	75,7	101,5	71,1	30,1	0,2913	93,39	123		
55	русский фразеология	96,63	6	9,3	52,5	72,5	98	68,4	16,9	0,2793	93,94	123		
424	европейский язык	95,93	101,7	65,4	92,8	81,8	81,8	67,4	37,1	0,1399	96,58	123		
56	член предложение	95,84	53,9	130,1	148,3	128,3	81,2	39,4	12,2	0,3002	92,56	123		
96	национальный язык	95,55	56,2	66,5	99,7	65,7	80,2	70,2	64,4	0,1453	96,59	123		
58	лексический семантика	93,74	0	5,6	49,8	87,1	97,5	59,1	44,7	0,2181	95,29	121		
59	множественный число	93,68	252,5	180,5	111,4	72,6	60,2	69,8	73,8	0,2983	92,88	123		
61	речевой воздействие	92,66	0	0,8	11,4	50,4	86,1	88,4	40	0,3685	91,9	119		
62	сложноподчиненный предложение	92,32	13,2	108,3	122,6	87,3	92	35,3	22,6	0,3292	92,22	123		
63	структура предложение	91,61	10,8	28,4	158,5	130,1	80,3	41	15,5	0,2536	93,44	123		
65	когнитивный аспект	90,95	0	0	0,1	49,9	95,2	76,1	26,3	0,3699	91,97	114		
68	дагестанский язык	90,26	0	13,6	17,9	74,4	84,8	77,3	13,2	0,6179	82,96	106		
81	структура язык	89,29	13,2	22,1	89,6	93,5	86,6	51,6	16,9	0,2408	94,64	123		
98	описание язык	86,37	2,4	6,5	30	64,3	89,4	61,8	39,5	0,2165	95,5	123		
123	уровень язык	86,03	9,6	13,9	70,7	86,2	81,6	56,7	28,7	0,1975	95,63	123		
70	форма глагол	84,76	45,5	95,7	91,6	76,8	61,5	65,9	40,4	0,2387	94,37	123		
67	порядок слово	83,35	46,7	57,8	89,5	81,2	68,3	58,3	34,8	0,2459	93,59	123		
89	русский говор	83,24	52,7	50,8	66,6	72,3	72,4	59,8	51,7	0,3727	91,58	123		
79	башкирский язык	82,42	1,2	131,5	88,7	37,4	57,6	70,3	71,5	0,4951	87,76	117		
71	функциональный стиль	80,19	14,4	10,9	107,7	80,8	77,3	42,7	16,9	0,2684	93,56	123		
72	словарный состав	80	61	75,2	107,1	67,9	71,6	43,8	21,6	0,2135	95,21	123		
73	аварский язык	79,86	0	1,1	23,2	106,2	69,8	65,9	0,9	0,6695	81,7	85		
93	средство язык	79,83	25,1	20,4	48,9	74,4	78,7	52,3	32,9	0,2133	95,57	123		
80	семантика слово	79,5	14,4	14,5	52,4	86,5	82,3	44,7	23,5	0,2357	94,82	123		
102	развитие язык	79,38	50,3	55,2	88,2	70,8	68,5	51,1	52,2	0,1452	96,49	123		
86	китайский язык	78,28	1,2	4,7	15,6	54	54,7	86,9	185,3	0,3927	90,51	123		
74	синтаксический конструкция	77,79	32,3	44,4	82,4	87	69,6	45,8	39	0,1728	96,03	123		
75	языковой игра	77,62	0	0	0,6	21,3	77,7	74,1	26,3	0,3865	90,16	116		
78	теория перевод	77,12	1,2	3,6	25,8	31,1	76,7	62,9	103,4	0,4654	88,76	122		
76	устный речь	76,84	132,8	60,3	60	83,1	63,8	51,9	68,2	0,1467	96,53	123		
84	прошедший время	76,35	41,9	93,1	70	52,4	41,7	78,8	126	0,3207	91,83	123		
77	лексический система	76,28	4,8	20,6	49	68,2	75,6	49,9	28,7	0,2136	95,3	123		
984	языковой материал	75,04	19,1	25,7	45,3	64,6	65	60,1	54,5	0,1299	96,98	123		
262	семантика язык	74,97	0	1	23,3	57,1	83,7	47,5	19,3	0,2893	93,72	121		
82	древнерусский язык	73,96	167,6	81,2	81,8	89,2	59,2	42,9	44,2	0,3213	92,64	123		
87	производный слово	73,94	27,5	30,4	80,1	74,8	74,4	37,2	7,5	0,2794	93,91	123		
83	семантический категория	72,76	2,4	2,6	51,4	76,4	68,7	49,8	42,3	0,2304	94,86	122		
85	синтаксический структура	72,03	12	39	86,9	69,9	64,1	43,4	38,1	0,1682	95,84	123		
90	испанский язык	70,88	1,2	2,5	71	34,5	48,5	75,8	60,7	0,4632	88,39	122		
88	языковой значение	70,77	1,2	3,1	32,3	73,1	75,4	42,7	14,1	0,2682	94,23	122		
100	монгольский язык	69,63	15,6	82,8	54,5	47,2	59	51,3	35,3	0,5085	87,39	120		
118	семантический тип	69,11	3,6	8,8	60,2	91,8	64,6	41,4	19,3	0,2192	94,87	123		
91	художественный речь	68,34	85	24,2	68,9	71,6	67,8	35,5	10,3	0,2958	93,6	123		
92	тип языковой	68,33	1,2	0,7	23,4	61	71,2	47,3	17,4	0,2737	94,22	123		
101	лингвистический теория	67,81	3,6	5,6	25,3	60,5	68,1	48,5	30,6	0,2625	94,32	123		
738	технический термин	66,49	47,9	20,6	70,8	56,2	59,5	45,9	10,8	0,3278	92,82	123		
94	языковый единица	66,43	2,4	3,9	31,2	53,7	65,6	49,2	26,3	0,2282	95,08	123		
117	индоевропейский язык	66,26	55,1	40,2	66,4	60,6	57,4	45,1	17,4	0,1856	95,66	123		
95	грамматический значение	65,84	22,7	44,1	85,9	75,2	55,2	39	27,7	0,172	95,92	123		
97	языковой явление	65,49	32,3	32,2	51,2	60,6	59,7	44,5	32,4	0,1567	96,35	123		
99	теория метафора	64,37	0	0,2	0,5	41,2	64,2	56,6	14,6	0,3554	92,59	113		
103	лезгинский язык	63,12	0	2,5	4,2	51,5	57,9	58,8	2,8	0,7148	81,08	99		
105	даргинский язык	62,9	0	0,5	7	20,4	53,6	70,6	0,9	0,7132	80,01	82		
109	лингвистический семантика	62,7	1,2	0,8	19,6	46,7	66,3	44,8	11,3	0,2986	93,7	120		
198	функционирование язык	62,69	10,8	4,9	30,8	58,4	63,5	41,7	32	0,2283	95,07	122		
231	семантический класс	62,62	1,2	9,5	54,2	66,2	58,7	39,3	61,1	0,2132	94,95	123		
104	исторический грамматика	62,56	38,3	39,2	71,4	62,3	53,9	40	19,7	0,2498	94,24	123		
106	русский синтаксис	61,93	21,5	9,8	50	81	60,7	34,5	10,3	0,259	94,25	123		
107	грамматический форма	61,74	64,6	88,2	70,5	61,5	49,5	37,7	18,8	0,1729	96,13	123		
116	азербайджанский язык	61,57	0	327,7	214,4	32,4	26,9	13,9	16,5	0,6516	83,01	102		
121	таджикский язык	60,86	2,4	9,5	20,3	17,1	22,9	98	87	0,6882	80,78	90		
108	коммуникативный аспект	60,84	0	0,5	20,2	71,3	65,4	35,9	13,2	0,3015	93,6	120		
111	семантический система	59,88	3,6	11,3	63	61,3	58,4	34	21,2	0,2481	94,54	123		
113	естественный язык	59,66	1,2	10,6	21,4	53,3	57	45,7	29,6	0,2013	94,57	123		
178	кавказский язык	59,26	6	10,9	27,3	81,6	54	42	2,4	0,6268	82,13	104		
114	речевой коммуникация	58,91	2,4	1,3	7,4	32,8	59,4	50	23	0,3167	93,25	122		
112	жанр речь	58,85	1,2	0	1	12,3	60,8	54,7	15,5	0,4378	90,59	112		
124	турецкий язык	57,98	3,6	285,8	100,8	24,8	35,1	25,4	40,9	0,5159	86,67	122		
119	русский словообразование	57,37	13,2	7	67,4	61,6	60	26,2	3,3	0,4143	89,61	123		
115	объект лингвистический	57,32	0	1,3	21,4	43,6	53,1	48,8	24,9	0,2793	94,25	121		
134	языковой ситуация	57,29	7,2	4,4	16,7	29,5	50	52,1	127,9	0,2684	93,3	123		
120	иностранный слово	56,91	113,7	40,5	31,7	53,2	50,1	41,1	16	0,1657	96,02	123		
122	смысловой структура	56,35	8,4	19,4	62,7	54,4	59,6	25,5	6,1	0,2916	93,25	123		
125	прикладной лингвистика	56,26	2,4	8,2	30,9	40,8	51,5	46,3	22,1	0,2275	94,9	123		
132	семантический аспект	56,15	0	3,9	37,7	61,7	56,6	34,3	13,6	0,2704	94,35	123		
126	речевой этикет	56,13	0	6,2	20,6	51,8	63,1	31,9	7,5	0,3477	91,18	121		
152	значение глагол	56,08	43,1	39,7	59	60,5	47,5	34,2	65,8	0,2048	95,42	123		
128	модальный значение	55,23	3,6	25,7	48,6	39,4	49,9	40,5	19,3	0,2925	91,55	123		
766	глагольный слово	55,07	2,4	28,4	52,6	52,4	50,8	34,4	30,6	0,2831	92,61	123		
127	грамматический строй	54,98	26,3	54,2	90,1	60,6	46,8	26,7	9,4	0,2262	94,74	123		
130	структурный лингвистика	54,91	4,8	7,2	58	68	55,2	27,1	8	0,2605	94,01	122		
131	семантический признак	54,78	2,4	12,7	65,2	64,9	48,5	33,4	18,8	0,2219	94,22	123		
129	сплошной выборка	54,58	0	1,6	25,3	28,1	48,2	51,1	33,4	0,243	94,88	121		
140	группа слово	54,18	46,7	46,9	78,8	58,6	45,6	29,6	16,5	0,2023	94,98	123		
143	чувашский язык	54,08	4,8	163,4	95,3	32,5	36,4	30,1	14,6	0,5658	86,57	110		
133	глагол движение	53,74	9,6	19	45,5	51,3	46,3	39	47,5	0,3178	92,27	123		
135	придаточный предложение	53,55	22,7	129,4	94,5	54,6	37,1	27,1	9,4	0,3225	91,47	123		
153	форма слово	53,39	44,3	52,8	51,4	54	45,1	34,3	21,6	0,1483	96,55	123		
137	технический терминология	53,24	27,5	12,1	54,6	44,2	49,9	35,2	7,5	0,341	92,4	120		
136	теория коммуникация	53,04	0	0,3	11,9	33,9	49,4	48,4	17,4	0,3551	92,2	119		
138	прямой речь	52,78	57,4	58,3	60,7	34,5	44	35,3	36,2	0,3092	92,61	123		
157	узбекский язык	52,44	4,8	266,6	196,6	30,4	19,7	14,1	5,2	0,6265	83,67	110		
163	алтайский язык	52,26	0	135,9	60,5	30,1	41,1	30,9	24,4	0,4982	87,99	119		
139	языковой номинация	51,82	0	1,8	60	53,7	52,6	27,1	1,9	0,3105	92,83	116		
263	особенность язык	51,79	20,3	30,9	29,6	29,4	45,1	43,9	25,9	0,1599	96,49	123		
142	коммуникативный стратегия	51,65	0	0	0,2	6,6	44	60,6	23,5	0,399	91,09	112		
943	русский диалект	51,6	58,6	33	36,3	46,1	47,2	34,7	23,5	0,3428	92,26	123		
141	именной группа	51,38	1,2	0,3	16,7	26	28,9	69,4	65,4	0,5041	86,33	119		
171	функция язык	50,89	9,6	5,9	36,1	53,6	48,4	33,5	32,4	0,2231	94,9	123		
147	якутский язык	50,43	0	106,4	57,1	30,4	35,3	34,9	105,3	0,6225	83,61	108		
144	диалогический речь	50,32	12	9	48,7	58,4	49,3	24,8	82,3	0,3277	91,86	122		
146	концептуальный анализ	49,55	0	0	0	21,3	52,8	41,3	22,1	0,3579	92,2	107		
145	синтаксический единица	49,28	4,8	20,9	56,3	61,2	48,7	22,7	6,6	0,2599	94,25	123		
148	имя прилагательное	48,87	9,6	32,3	53,1	51,1	45,7	26,7	16,9	0,2868	93,23	123		
149	семантический характеристика	48,66	0	9,8	45,5	50,5	45,5	31,1	16,5	0,2403	94,67	123		
150	аспект языковой	47,97	4,8	1,6	15,6	37,1	50,8	33,3	14,1	0,2915	93,38	121		
151	ассоциативный эксперимент	47,74	6	0	1,8	9,8	41,2	53,9	25,9	0,4127	90,55	111		
202	романский язык	46,45	10,8	3,6	59,6	39,9	34,9	37,1	72,9	0,3462	91,73	123		
158	коммуникативный поведение	46,33	0	0	0,9	5	42,8	50,5	13,2	0,4183	90,29	113		
156	лексический средство	46,21	3,6	8,3	29,5	35,8	46	31,2	31	0,2064	95,47	123		
161	функциональный аспект	46,18	0	1	15,6	39,3	47,4	33,4	8,9	0,2718	94,25	122		
162	иноязычный слово	46,15	22,7	16,3	20,6	38,4	46,7	30,8	17,4	0,2352	92,28	123		
164	поэтический язык	45,94	49,1	16,3	16	41,3	48	27,9	30,6	0,3089	92,59	123		
160	когнитивный семантика	45,78	0	0	0	12,2	49,8	38,7	18,8	0,3951	91,52	109		
159	коммуникативный ситуация	45,77	0	0,5	4,9	25,2	42,3	43,3	37,6	0,276	93,85	122		
985	современный языкознание	45,69	9,6	9	27	37,6	42,5	34,7	23,5	0,2158	95,33	123		
986	теория текст	45,64	0	0,2	14,6	24,1	41,4	43,3	15	0,3301	92,69	119		
170	кумыкский язык	45,4	1,2	27	23,5	31,7	48,3	27,6	2,4	0,6981	79,24	84		
173	казахский язык	45,27	4,8	190,3	135,8	27,9	22,7	15,8	25,4	0,537	86,12	112		
165	великорусский язык	45,02	28,7	24	23,6	33,3	42,7	32,9	13,6	0,2157	94,93	123		
166	семантический отношение	44,61	2,4	10,3	64,2	44,5	41,7	23,6	21,6	0,2451	93,39	123		
172	модальный слово	44,21	3,6	60,9	48,4	66,5	38,1	19,6	22,6	0,3389	90,75	123		
194	языковой контакт	44,14	1,2	17,2	31,9	28,5	36,6	38,1	39,5	0,2541	93,84	123		
168	единственный число	44,1	143,6	101,3	51,2	27,2	24,2	37,4	40,4	0,3371	92,17	123		
274	конкретный язык	44,1	2,4	25,7	37,9	41,6	39,3	29,4	36,2	0,2187	94,46	123		
167	письменный речь	43,98	87,4	30,2	38,3	38,7	35,5	32,7	33,9	0,1759	95,53	123		
169	географический название	43,62	64,6	80,5	48,6	51,1	30,6	25	89,3	0,3301	91,79	123		
235	типология язык	43,62	0	3,8	40,4	36,3	43,5	27,5	9,4	0,2704	93,77	123		
177	лексический состав	43,29	13,2	33,3	39,6	34,5	38,9	28,6	25,9	0,1672	96,16	123		
987	прецедентный текст	43,09	0	0	0	15,7	43,9	38,6	32,4	0,3462	91,61	110		
183	лингвистический описание	42,87	1,2	2	32,1	45	40,7	29	16,9	0,2229	95,13	123		
174	лексика современный	42,85	10,8	11,8	45,5	40,8	42,6	23,5	10,3	0,2374	94,79	123		
176	служебный слово	42,77	7,2	39	39	34,2	39,8	26,2	19,3	0,2775	93,4	123		
175	теоретический грамматика	42,52	0	1,6	42,1	34,1	38,5	31,8	7,1	0,3994	91,54	119		
180	падежный форма	42,31	19,1	53,3	51	39,9	33,3	27,8	14,6	0,275	93,26	123		
185	употребление слово	42,28	190,3	83,8	63,5	43,7	29,1	22,4	29,2	0,2532	93,72	123		
233	структурный тип	42,08	3,6	16,2	57,7	43,1	37,4	24,7	11,3	0,276	93,87	123		
464	родственный язык	41,7	19,1	52,4	55,2	36,7	30,6	29,6	17,9	0,2931	93,63	123		
187	когнитивный подход	41,02	0	0	0	24,7	40,5	36,2	28,7	0,3407	92,67	111		
179	анализ лексика	41,01	1,2	5,6	41	37,8	40,6	24,2	15,5	0,2415	94,73	123		
181	коммуникативный функция	40,62	9,6	5,9	33,7	46,8	38,3	25,6	14,6	0,2372	94,55	123		
184	компонент значение	40,59	2,4	1	23,5	43,9	38,1	29,1	17,9	0,2122	95,2	121		
204	временный форма	40,35	16,8	30,7	58,9	34,7	32,4	25,3	45,6	0,2454	92,88	123		
218	лексикографический источник	40,25	1,2	2,1	14,1	15,7	33,8	42,1	19,3	0,263	94,21	123		
182	номинативный единица	40,24	0	1,8	18,5	40,2	43	24,3	11,8	0,2805	93,86	121		
193	личный местоимение	40,2	16,8	39,7	28,8	36,1	32,6	31	16,9	0,2549	94,01	123		
191	русский словесность	39,94	7,2	2,8	3,4	15,5	41,1	34,7	9,4	0,3499	92,36	123		
242	стилистический особенность	39,94	7,2	13,2	34,2	29,5	34,8	31,4	15	0,2213	95,35	123		
186	синтаксический функция	39,85	7,2	34,1	65,8	46,4	33,3	20,3	7,5	0,2455	94,03	123		
190	теория дискурс	39,74	0	0	0,8	5,2	26,5	55,5	26,8	0,4579	89,3	115		
188	лексикографический описание	39,45	2,4	0,8	13,3	31,4	36,8	32,3	42,8	0,2327	94,5	120		
286	семантика глагол	39,44	1,2	7,2	33,8	38,4	36,6	25,7	41,4	0,1809	95,9	123		
195	детский речь	39,29	2,4	4,7	3,9	52,1	36,9	29,7	16	0,414	90,6	122		
201	семантический компонент	39,23	1,2	1,3	37,2	40,7	35,3	26,9	26,3	0,1999	95,3	122		
189	аспект семантика	39,04	0	0,3	9,3	42,4	42,6	23,8	7,1	0,304	93,69	119		
192	поэтический речь	39,01	87,4	36,8	30,6	43,2	37,5	19,5	8,9	0,2602	93,52	123		
197	лингвистический прагматика	38,85	0	0	3,8	35,6	40,8	28,4	9,4	0,3512	92,16	117		
933	предложный падеж	38,68	56,2	14,4	33,7	32,9	36,6	24,9	9,9	0,3638	89,96	121		
199	родительный падеж	38,64	181,9	85,3	70	33,9	20,9	25,7	18,8	0,33	91,24	121		
230	когнитивный термин	38,44	0	0	0	10,3	37,4	38,1	13,6	0,3697	92,12	106		
196	категория время	38,43	0	17,2	29,3	31,7	35,1	28	8,9	0,2554	94,19	123		
200	категория модальность	38,08	0	7,4	23,3	41,1	36,3	25,9	10,3	0,3178	92,95	121		
246	марийский язык	37,96	0	11,6	15,6	26	30,1	37,4	26,3	0,6578	82,15	94		
303	взаимодействие язык	37,94	0	8	20,9	26,5	36,2	29,2	16,9	0,2423	94,57	122		
215	бурятский язык	37,93	1,2	2,9	8,6	49	34,9	28,1	37,6	0,6256	81,65	97		
224	анализ дискурс	37,84	0	0	0,3	8,9	32,8	42,5	23	0,3934	90,85	113		
211	класс слово	37,81	2,4	9,8	35,9	45,5	35,8	21,7	15,5	0,2263	94,66	123		
203	знаковый система	37,75	2,4	2,1	13,3	37,3	36,3	28,5	16	0,2363	94,83	123		
210	языковый знак	37,65	0	4,4	27,6	37	36,1	25,2	18,3	0,2485	94,48	123		
220	русский лексика	37,46	19,1	10,8	31	48,5	35,4	21,6	10,3	0,3229	92,13	123		
205	вспомогательный глагол	37,26	13,2	39,7	39	28,5	21,3	36,1	67,2	0,4127	88,78	120		
223	состав язык	37,12	13,2	19,9	35,9	28,8	34,9	23,6	16,9	0,2052	95,35	123		
207	научный речь	37,1	6	1,6	55,7	50,4	35,2	16,5	11,3	0,3318	91,88	121		
227	арабский язык	37,08	7,2	25,8	57,6	15,4	34,1	22,7	7,1	0,4723	86,48	121		
206	способ словообразование	36,96	8,4	16,2	30	32,4	34,8	24,6	9,4	0,2705	93,65	123		
209	грамматический учение	36,94	10,8	6,5	29,6	40	37,1	21,5	2,4	0,2429	94,97	123		
219	философия язык	36,88	3,6	1	3,8	24,9	39,8	27,4	8,9	0,3098	92,7	121		
