термин,частота (ipm),1960-е,1970-е,1980-е,1990-е,2000-е,2010-е,2020-е,DP,D,R
графика,16.56,16.8,33.5,13.6,17.9,10.1,13.6,10.8,0.2695,92.47,123.0
курский,16.51,13.2,11.6,21.6,17.8,11.0,13.6,3.8,0.319,92.25,122.0
конституировать,16.48,2.4,3.8,12.4,19.7,15.3,10.6,6.6,0.2973,92.58,123.0
албанский,16.46,1.2,20.3,5.1,4.0,11.3,18.8,6.1,0.5886,79.9,107.0
берестяной,16.38,44.3,15.8,7.0,12.8,10.7,15.0,49.4,0.4884,86.56,105.0
антитеза,16.13,9.6,15.4,13.6,15.6,12.3,12.3,16.9,0.2692,93.44,123.0
неформальный,16.13,0.0,0.0,0.9,7.3,14.3,15.5,37.1,0.3251,90.6,116.0
аффиксация,16.05,6.0,7.2,15.5,12.0,15.9,9.6,4.2,0.3235,92.49,121.0
иконический,16.03,0.0,0.0,0.7,13.8,13.2,16.4,9.9,0.4563,86.35,108.0
фольклористика,16,1.2,23.7,24.5,12.6,10.2,12.5,10.3,0.2882,93.21,123.0
конвергенция,15.99,0.0,2.5,24.0,13.0,11.3,13.8,8.5,0.4543,83.35,117.0
концептосфера,15.99,0.0,0.0,0.0,0.8,14.3,18.3,4.7,0.4385,90.05,98.0
гагаузский,15.91,1.2,115.2,42.6,8.8,5.2,4.8,2.4,0.6889,77.92,77.0
аналитизм,15.87,0.0,4.7,6.4,10.5,15.3,12.8,0.5,0.3666,89.0,122.0
эстонский,15.87,7.2,13.2,10.6,12.5,9.1,17.8,10.8,0.408,84.6,120.0
абхазский,15.85,2.4,2.5,21.1,37.9,10.7,9.2,2.8,0.6627,78.57,85.0
интуиция,15.85,8.4,4.9,7.1,15.9,14.3,11.6,20.7,0.2516,92.77,123.0
иврит,15.83,1.2,0.2,6.5,2.8,12.2,18.8,1.9,0.7565,67.54,83.0
красноречие,15.83,28.7,11.8,19.3,18.7,13.1,9.3,5.6,0.3201,92.05,121.0
сенсорный,15.78,0.0,0.0,3.9,7.6,15.1,13.3,30.6,0.362,89.86,116.0
фонемный,15.68,1.2,30.2,17.4,13.6,12.6,9.3,6.6,0.3151,91.44,121.0
интенсификация,15.61,0.0,3.1,11.3,14.4,15.6,9.5,14.6,0.3095,91.58,122.0
избыточный,15.6,25.1,7.4,10.3,12.0,12.3,13.5,15.0,0.2599,88.92,123.0
междометный,15.34,2.4,2.5,7.0,21.5,14.2,10.5,2.8,0.45,84.98,117.0
маркированность,15.33,0.0,1.0,9.1,17.2,14.1,11.3,3.8,0.2279,94.73,122.0
аффриката,15.32,2.4,30.2,12.1,11.2,9.2,14.4,9.4,0.4477,86.07,104.0
гипероним,15.21,0.0,0.2,6.2,12.5,13.7,13.1,8.0,0.3302,91.37,116.0
языковедческий,15.21,21.5,25.7,21.1,13.8,10.6,10.2,7.1,0.2023,95.21,123.0
изоглосса,15.2,16.8,32.2,24.4,13.5,10.0,9.6,6.6,0.4216,89.42,114.0
обособление,15.09,12.0,18.6,28.1,12.4,12.0,8.1,2.8,0.3205,89.8,123.0
таксономический,14.96,0.0,0.0,5.7,9.7,14.9,11.6,10.3,0.3008,90.91,118.0
грамотность,14.94,63.4,29.7,17.3,14.1,10.8,8.8,9.4,0.3497,86.71,121.0
анафора,14.92,10.8,6.2,8.1,9.5,11.0,14.3,31.0,0.3722,89.89,121.0
изоморфизм,14.74,0.0,2.0,12.3,18.9,13.3,9.8,3.3,0.3133,91.22,122.0
грамотный,14.69,83.8,34.0,16.9,14.7,8.4,10.0,16.9,0.326,92.06,123.0
клауза,14.69,0.0,0.0,0.2,0.1,5.0,23.7,88.9,0.6978,77.9,56.0
алломорф,14.64,0.0,6.0,13.5,5.3,7.2,18.1,38.1,0.4395,88.52,109.0
эмфатический,14.63,4.8,6.0,15.8,24.8,9.6,11.2,9.9,0.3487,90.33,117.0
македонский,14.62,14.4,6.4,5.6,16.8,11.1,12.8,19.3,0.5161,85.62,103.0
арабизм,14.58,3.6,7.4,11.7,12.4,14.6,8.2,12.7,0.602,83.42,89.0
шумный,14.58,18.0,18.0,13.4,11.4,11.2,11.1,8.5,0.3681,88.59,113.0
скандинавский,14.53,7.2,6.0,11.5,11.0,12.7,11.1,8.5,0.3825,86.07,119.0
конститутивный,14.52,1.2,1.5,4.5,7.7,12.7,14.4,2.4,0.3649,91.42,121.0
звукоподражание,14.26,14.4,16.0,7.5,10.0,10.7,13.1,3.3,0.4635,87.03,118.0
вепсский,14.21,0.0,1.8,3.4,9.6,4.3,23.2,20.7,0.6521,70.06,84.0
конъюнктив,14.14,0.0,3.9,6.0,4.2,10.7,15.1,28.2,0.5015,86.03,103.0
долженствование,14.01,13.2,10.5,8.0,14.5,11.9,10.5,6.1,0.3279,88.33,121.0
артикуляционный,13.87,3.6,27.8,14.4,12.2,10.1,8.6,29.2,0.3832,88.52,115.0
новосибирский,13.87,12.0,4.7,9.9,9.9,10.1,13.5,9.9,0.2281,94.78,123.0
терминосистема,13.68,0.0,0.3,9.0,10.5,11.9,11.9,5.2,0.3427,92.24,108.0
графема,13.58,2.4,18.8,8.8,5.9,8.7,14.5,7.5,0.4472,88.71,114.0
транслитерация,13.44,9.6,11.3,5.2,5.8,9.8,14.0,15.0,0.34,91.74,121.0
комплемент,13.42,0.0,2.0,14.5,10.4,8.9,12.1,44.2,0.4481,85.4,116.0
старорусский,13.25,0.0,6.7,13.8,13.9,10.9,9.0,16.5,0.4415,88.39,102.0
пациенс,13.24,0.0,2.0,5.3,7.5,9.7,14.3,20.7,0.457,86.73,109.0
буквенный,13.2,35.9,11.8,10.1,8.5,11.1,9.6,14.6,0.2962,92.41,123.0
словенский,13.19,16.8,8.0,6.6,14.8,8.9,11.1,46.1,0.4526,86.39,110.0
вокалический,13.13,0.0,11.4,8.1,11.4,7.1,15.4,3.3,0.4606,84.88,110.0
сочетаемостный,13.07,0.0,2.8,11.0,13.2,12.7,7.5,19.7,0.2653,93.33,121.0
аффективный,13.05,0.0,1.5,6.4,8.5,10.9,12.5,5.2,0.3383,91.08,118.0
португальский,13,10.8,2.8,17.0,17.5,8.3,9.7,37.6,0.5244,84.18,116.0
агглютинативный,12.95,0.0,24.0,17.8,9.5,9.8,7.8,14.6,0.4017,90.24,116.0
детерминатив,12.91,1.2,5.1,18.9,12.2,10.1,9.3,2.8,0.4876,82.58,110.0
суггестивный,12.91,0.0,0.0,0.5,11.0,13.7,9.3,9.9,0.449,87.52,104.0
автоматизированный,12.87,6.0,4.2,7.3,11.3,13.0,8.0,8.9,0.3859,88.66,119.0
молдавский,12.87,4.8,20.7,56.5,11.6,5.4,4.7,17.4,0.5735,83.43,118.0
древнегерманский,12.85,0.0,1.1,2.4,10.3,12.0,11.2,4.7,0.4735,87.42,110.0
глоссарий,12.84,4.8,14.9,10.3,10.7,9.3,10.8,10.3,0.2806,92.08,121.0
клитика,12.84,0.0,3.1,4.2,4.4,6.5,18.6,10.8,0.5778,82.35,90.0
санскрит,12.84,8.4,15.7,10.2,8.3,9.3,11.4,7.1,0.4103,86.41,118.0
гипербола,12.73,4.8,6.7,6.3,10.9,11.8,9.2,11.3,0.3526,87.45,123.0
латышский,12.72,10.8,19.6,21.8,9.2,6.1,12.1,2.8,0.4512,86.93,122.0
фонематический,12.43,1.2,16.5,8.2,8.7,13.2,5.8,8.0,0.3995,80.45,117.0
ирландский,12.37,2.4,1.8,1.3,13.2,10.4,11.6,5.6,0.5713,81.38,111.0
стопа,12.33,14.4,12.4,8.3,11.5,7.0,12.8,13.6,0.3852,85.08,117.0
новогреческий,12.18,9.6,1.3,5.5,6.9,7.6,15.3,2.8,0.585,83.07,99.0
германистика,12.11,0.0,1.0,5.1,7.1,8.5,14.0,4.7,0.4561,88.97,108.0
пейоративный,12.02,0.0,0.0,1.8,7.5,11.0,11.4,5.2,0.3759,87.9,117.0
гетерогенный,12,0.0,2.9,7.1,10.5,11.1,9.0,5.6,0.3021,92.47,121.0
абсолютив,11.97,2.4,0.7,2.8,4.9,5.4,18.5,9.9,0.6298,69.33,88.0
кельтский,11.89,0.0,2.6,2.9,4.8,8.7,14.0,7.1,0.5088,82.79,109.0
общелингвистический,11.87,2.4,5.4,14.0,10.2,11.1,7.0,5.6,0.2372,94.37,122.0
брянский,11.82,9.6,12.7,8.5,8.0,9.5,9.4,9.4,0.4391,86.5,117.0
русизм,11.79,6.0,13.6,9.2,7.3,9.1,10.2,1.9,0.4441,88.15,112.0
урбаноним,11.78,0.0,0.0,0.5,1.6,6.1,16.1,67.7,0.736,75.05,69.0
цыганский,11.78,29.9,3.3,4.5,7.2,11.6,8.9,0.0,0.6705,78.46,82.0
эвфемистический,11.78,0.0,1.3,9.3,4.7,12.0,7.9,16.9,0.4909,86.78,112.0
мягкость,11.75,50.3,13.4,12.2,10.2,8.6,8.2,14.6,0.3502,91.93,115.0
аканье,11.73,28.7,11.9,7.5,6.8,6.8,13.2,1.4,0.5937,77.17,91.0
сонорный,11.71,14.4,25.7,20.2,11.6,6.6,7.9,9.9,0.40399999999999997,89.72,112.0
иероглиф,11.62,7.2,5.7,1.5,8.9,10.7,9.3,17.4,0.48,82.09,113.0
таксономия,11.54,0.0,0.3,2.4,12.7,11.4,8.5,4.7,0.2665,93.95,117.0
австралийский,11.53,6.0,1.0,7.8,12.2,7.0,12.9,3.8,0.5725,80.62,107.0
тембр,11.53,12.0,4.4,10.8,23.6,8.0,7.8,3.8,0.4248,85.3,117.0
многоязычный,11.5,1.2,2.6,5.4,6.1,8.9,11.3,24.0,0.3192,92.59,119.0
корпусный,11.49,0.0,0.0,0.0,0.3,5.2,18.0,44.7,0.4823,88.06,92.0
беспредложный,11.46,14.4,6.7,16.7,11.5,8.2,8.6,2.8,0.4366,85.3,116.0
сингармонизм,11.44,1.2,32.2,18.9,11.7,6.7,6.8,11.3,0.4928,88.4,94.0
герундий,11.41,0.0,8.3,14.6,6.0,8.2,10.2,3.3,0.5458,83.56,97.0
непродуктивный,11.32,18.0,18.3,8.8,12.3,8.4,7.8,8.0,0.2599,93.38,123.0
коннектор,11.28,0.0,0.0,1.6,4.7,10.2,9.6,49.8,0.5502,82.48,101.0
дескриптор,11.24,4.8,0.5,8.9,6.9,13.9,4.5,4.2,0.5943,75.05,99.0
орфоэпия,11.23,46.7,23.7,11.0,10.4,9.1,5.9,1.9,0.3258,89.84,123.0
стихосложение,11.16,15.6,28.3,19.4,7.3,7.9,6.1,0.5,0.3219,91.47,123.0
метафоричность,11.14,3.6,7.4,5.0,7.9,10.2,8.3,14.1,0.2175,94.66,123.0
полилог,11.12,0.0,0.2,0.7,21.6,8.4,9.7,2.4,0.5186,78.64,107.0
этимологизация,11.09,6.0,14.4,16.7,13.6,8.1,6.4,7.5,0.3035,93.05,119.0
переводоведение,11.08,0.0,0.2,0.4,0.8,10.3,11.4,18.8,0.5204,87.59,96.0
этимон,11.03,0.0,4.2,5.0,7.8,7.8,11.7,8.9,0.3841,87.61,117.0
аблатив,11.02,0.0,1.3,3.2,11.9,3.7,16.3,18.8,0.5838,82.26,78.0
астраханский,10.92,4.8,15.5,18.9,4.1,5.2,11.2,8.9,0.3842,84.69,117.0
генерализация,10.91,2.4,1.8,3.3,4.7,7.2,13.5,11.3,0.3893,77.92,116.0
арготизм,10.88,15.6,2.8,1.7,11.6,12.0,5.4,21.6,0.5236,84.48,104.0
сленговый,10.87,1.2,0.0,0.2,1.8,13.9,6.7,3.8,0.5348,85.26,101.0
аллитерация,10.79,15.6,23.7,21.0,5.7,5.9,8.2,4.2,0.3958,84.24,115.0
йот,10.74,38.3,5.9,7.5,16.1,5.8,10.5,5.2,0.3811,88.69,119.0
заднеязычный,10.63,10.8,20.9,8.0,8.1,7.4,8.5,7.5,0.4036,88.27,106.0
славистика,10.6,2.4,8.3,6.0,8.2,8.3,9.4,5.2,0.2695,93.14,122.0
смягчение,10.6,7.2,7.4,5.2,8.2,8.9,8.6,15.0,0.2639,93.1,122.0
генеративный,10.56,0.0,1.0,3.6,13.9,8.6,8.8,12.2,0.3728,90.34,120.0
тавтология,10.48,13.2,9.6,8.0,9.9,7.6,9.0,2.8,0.5001,82.96,120.0
пиджин,10.46,1.2,0.0,1.7,1.9,11.1,9.0,3.8,0.6598,76.42,82.0
сирконстант,10.44,0.0,0.0,8.2,6.9,8.6,9.2,12.7,0.4127,89.95,108.0
компаративистика,10.38,2.4,4.7,9.0,9.6,8.8,7.9,4.7,0.3402,92.52,123.0
лемма,10.35,16.8,1.1,1.6,3.9,8.5,10.6,19.3,0.5317,84.4,107.0
автоматизация,10.28,2.4,8.5,11.4,10.5,9.4,5.7,4.7,0.3359,91.83,120.0
носовой,10.27,41.9,19.4,12.0,6.6,5.2,9.6,10.8,0.3911,89.96,112.0
норвежский,10.16,3.6,4.7,8.9,4.5,8.7,7.2,38.6,0.439,86.12,116.0
итеративный,10.08,0.0,0.7,5.4,8.7,5.8,12.2,10.8,0.44799999999999995,86.85,105.0
сербохорватский,10.03,4.8,1.0,28.6,9.4,5.1,7.7,9.9,0.4774,84.22,111.0
бесприставочный,9.97,9.6,3.6,2.6,9.2,6.3,10.8,22.1,0.5148,84.33,100.0
нидерландский,9.88,9.6,1.3,1.7,6.3,6.9,11.3,14.1,0.4763,85.22,111.0
идиостиль,9.84,0.0,0.0,0.1,4.0,10.4,8.3,6.1,0.4547,89.6,101.0
эвристический,9.83,0.0,1.5,4.0,9.3,9.7,7.0,4.7,0.2786,92.69,120.0
актуализатор,9.79,0.0,0.3,11.8,14.0,8.7,5.7,0.0,0.387,89.25,114.0
исландский,9.78,0.0,6.7,6.9,14.7,6.4,8.6,4.7,0.4838,86.44,111.0
удинский,9.69,0.0,18.1,16.3,4.0,3.3,11.5,1.4,0.6238,75.98,76.0
оксюморон,9.65,1.2,3.9,6.0,12.6,7.2,8.3,2.8,0.3355,89.77,119.0
ямб,9.57,23.9,5.6,7.5,10.2,9.6,4.7,4.2,0.434,85.34,114.0
англосаксонский,9.56,0.0,0.3,0.6,2.0,6.0,13.6,3.8,0.5747,83.11,95.0
каузатор,9.49,0.0,0.8,5.9,5.8,9.0,7.5,5.6,0.4498,85.6,107.0
стяжение,9.48,4.8,13.1,8.2,9.6,6.2,8.2,4.2,0.2846,92.65,121.0
контактирование,9.45,0.0,8.3,12.6,10.0,7.6,5.9,6.1,0.3036,93.0,122.0
архаизация,9.39,12.0,4.4,4.6,11.0,7.8,7.4,0.5,0.4031,87.16,117.0
заударный,9.39,6.0,6.4,7.1,4.7,6.6,9.1,16.0,0.449,87.33,106.0
абазинский,9.35,2.4,1.0,4.2,7.4,8.9,6.0,33.9,0.6932,75.84,73.0
древнеуйгурский,9.29,1.2,51.6,24.5,2.2,2.6,5.9,4.2,0.6151,82.18,71.0
интервокальный,9.23,0.0,30.6,12.4,4.7,3.5,8.4,22.1,0.5112,86.17,93.0
щелевой,9.19,10.8,11.1,14.6,3.5,6.7,6.8,8.9,0.4765,87.61,98.0
австрийский,9.15,1.2,4.4,2.7,14.1,6.2,8.7,3.3,0.4181,82.96,113.0
созвучие,9.13,16.8,24.7,8.2,6.6,7.0,5.3,8.5,0.3405,91.29,119.0
тибетский,09.03,0.0,12.1,3.4,2.8,6.8,9.1,8.0,0.5441,78.35,96.0
паронимия,09.01,1.2,0.5,8.7,5.3,9.0,6.1,2.8,0.4882,85.23,104.0
швейцарский,9,1.2,1.5,10.7,2.1,4.6,11.2,18.3,0.5628,78.22,102.0
англистика,8.99,0.0,0.8,14.3,7.4,7.4,6.3,3.8,0.4281,89.51,106.0
подкорпус,8.96,0.0,0.0,0.0,0.0,2.0,15.5,61.6,0.7006,79.26,58.0
галлицизм,8.95,4.8,1.8,1.6,5.3,8.3,8.2,0.5,0.5799,81.15,101.0
экзотизм,8.93,2.4,3.1,4.2,7.9,8.4,6.6,1.9,0.4224,84.91,110.0
твердость,8.82,9.6,6.5,9.6,9.6,6.9,6.1,5.6,0.3466,91.62,111.0
локализатор,8.62,0.0,0.3,3.1,14.4,6.2,7.9,0.9,0.5816,84.08,84.0
яканье,8.61,6.0,2.3,2.3,4.5,6.7,9.3,3.8,0.6789,75.59,68.0
конверб,8.49,0.0,0.0,0.0,1.0,1.7,16.3,22.6,0.7563,68.47,45.0
сложносокращенный,8.48,37.1,11.6,20.0,2.2,7.5,3.0,2.4,0.4903,84.06,111.0
интуитивный,8.46,1.2,2.6,4.7,9.5,7.6,6.0,7.1,0.2327,94.28,121.0
теоним,8.45,0.0,0.2,1.1,2.5,6.4,10.0,14.1,0.5957,79.88,84.0
когерентность,8.32,0.0,0.0,3.7,6.7,8.2,6.1,8.5,0.3911,87.1,107.0
романистика,8.31,0.0,0.5,3.9,3.2,5.4,10.4,7.5,0.4141,90.42,108.0
топологический,8.3,0.0,0.0,0.8,6.7,8.3,6.4,9.9,0.4843,86.79,105.0
взрывной,8.27,13.2,12.1,9.5,4.7,6.0,6.4,5.6,0.42,88.97,109.0
афористический,8.21,6.0,5.6,1.8,4.7,6.9,7.9,0.9,0.4677,83.64,112.0
декаузатив,8.17,0.0,0.0,0.3,0.3,6.5,10.2,6.1,0.721,72.15,62.0
караимский,8.15,0.0,43.1,21.1,3.1,2.8,4.4,10.3,0.625,80.91,71.0
гомогенный,8.14,0.0,2.1,10.2,7.3,6.8,5.9,2.8,0.3184,92.71,121.0
когнитивистика,08.04,0.0,0.0,0.0,1.3,6.2,9.9,9.9,0.4025,91.35,99.0
семиология,8,0.0,0.0,2.7,5.2,7.9,6.6,2.4,0.3328,93.02,108.0
палатализация,7.96,0.0,7.7,4.8,6.6,4.5,8.9,6.1,0.4665,86.33,101.0
амурский,7.89,1.2,2.3,3.6,1.2,4.2,11.1,8.0,0.5002,81.56,112.0
огласовка,7.86,4.8,22.4,11.3,5.8,3.8,6.2,13.6,0.4825,82.74,92.0
омограф,7.84,0.0,3.4,8.5,14.6,6.5,4.2,2.4,0.5707,73.63,95.0
гипертекстовый,7.75,0.0,0.0,0.5,0.3,8.0,7.3,4.7,0.5593,81.79,90.0
эмфаза,7.71,0.0,2.5,12.4,9.9,5.5,5.3,6.1,0.4714,84.75,103.0
послесловие,7.62,1.2,3.6,5.8,7.1,6.0,6.4,5.2,0.2478,94.49,120.0
партитивный,7.61,0.0,2.1,2.7,3.1,5.5,8.9,1.4,0.4991,82.03,105.0
траектор,7.6,0.0,0.7,0.3,2.7,4.6,9.2,42.3,0.4856,84.75,104.0
алогизм,7.57,6.0,2.1,2.1,4.0,6.7,7.1,1.9,0.3243,87.63,117.0
спрягаемый,7.56,6.0,16.8,11.9,8.2,4.3,5.1,5.6,0.3651,90.88,113.0
оптативный,7.55,0.0,2.6,7.4,8.6,6.4,5.3,0.5,0.5723,82.4,99.0
тавтологический,7.49,8.4,11.9,6.4,12.1,4.7,5.6,0.0,0.4376,86.24,108.0
тонический,7.49,8.4,3.8,8.1,6.0,6.4,5.3,2.8,0.3137,92.33,118.0
голландский,7.47,35.9,11.9,7.1,7.2,5.9,4.2,6.6,0.3482,91.25,119.0
паронимический,7.41,2.4,0.8,3.8,4.5,7.3,5.6,4.2,0.4076,86.25,112.0
эмотивность,7.41,0.0,0.0,2.7,5.6,7.2,6.1,0.5,0.3493,91.87,109.0
оканье,7.39,26.3,18.1,7.7,4.9,4.2,6.2,4.7,0.5016,86.89,90.0
переднеязычный,7.38,1.2,8.3,10.7,5.9,5.2,5.5,5.6,0.5254,85.7,94.0
белгородский,7.32,0.0,3.1,3.8,4.4,4.4,8.6,11.3,0.3416,90.1,117.0
фокусный,7.32,0.0,0.7,1.8,4.7,3.7,9.9,18.3,0.5241,83.77,91.0
энклитика,7.3,0.0,2.8,3.3,2.9,4.1,9.7,5.6,0.5917,80.4,81.0
грамматист,7.29,9.6,11.4,10.7,6.9,4.4,5.4,10.3,0.3268,92.33,122.0
диагностический,7.26,0.0,0.8,0.9,9.7,6.3,6.0,5.6,0.3782,89.04,112.0
регионализм,7.24,0.0,0.3,2.7,9.3,7.4,4.2,8.5,0.5281,79.2,95.0
постфикс,7.22,0.0,11.1,2.0,11.2,5.3,5.5,2.4,0.4528,88.2,98.0
пензенский,7.21,25.1,15.5,7.3,7.0,4.0,6.0,3.8,0.31,91.44,117.0
элатив,7.21,0.0,0.0,1.9,4.7,1.9,11.9,18.8,0.6513,70.09,72.0
парафраз,7.2,0.0,0.8,3.3,4.0,7.7,4.2,20.2,0.508,76.66,110.0
палатальный,7.16,1.2,8.2,6.4,8.4,2.9,8.3,5.6,0.5252,86.57,86.0
онимизации,7.13,0.0,1.1,3.7,6.7,6.2,5.5,14.1,0.3102,92.22,115.0
инхоатив,07.08,0.0,0.7,1.9,2.3,3.5,10.3,12.7,0.5701,82.79,95.0
инвариантность,07.06,0.0,0.7,2.7,10.9,6.7,4.5,1.4,0.2938,91.8,115.0
гипотаксис,07.03,0.0,2.5,8.1,11.4,3.9,6.6,0.9,0.5342,80.23,100.0
канцелярский,07.03,58.6,13.2,8.5,6.9,5.6,3.1,1.4,0.4234,87.11,103.0
интерфикс,07.02,22.7,19.4,6.2,4.4,3.7,6.4,0.9,0.5789,77.45,89.0
канадский,07.02,2.4,0.5,1.6,3.4,4.3,9.1,8.0,0.5365,80.98,94.0
северокавказский,07.02,0.0,3.9,6.2,11.1,4.8,5.6,2.8,0.5047,82.73,109.0
диссимилятивный,6.94,1.2,2.0,1.2,3.0,4.6,8.9,1.4,0.7025,74.07,68.0
кириллица,6.91,8.4,6.0,5.5,7.0,4.4,6.3,9.4,0.3906,90.82,107.0
аксиологический,6.84,0.0,0.0,0.1,2.8,6.1,7.2,4.2,0.3338,92.51,107.0
инкорпорация,6.82,0.0,0.2,2.2,3.7,3.9,8.7,16.0,0.6492,72.61,78.0
терминологизация,6.81,0.0,0.3,3.8,2.5,6.5,5.9,0.9,0.4134,89.72,103.0
эвфемизации,6.79,0.0,0.0,0.5,1.6,6.2,6.9,7.5,0.575,83.6,85.0
фрикативный,6.77,9.6,19.8,8.1,5.3,3.8,4.7,13.6,0.4366,86.86,99.0
экспериенцер,6.74,0.0,0.0,1.7,1.2,3.1,10.3,15.5,0.6695,70.12,73.0
несклоняемый,6.66,6.0,8.5,3.8,5.2,4.2,6.7,2.8,0.5026,83.21,94.0
амбивалентность,6.64,0.0,0.5,0.6,4.3,6.4,5.9,1.9,0.3733,90.26,109.0
аллегория,6.6,9.6,8.0,4.3,8.0,5.1,4.1,18.8,0.3365,85.84,118.0
темпоральность,6.58,0.0,0.7,1.4,4.3,6.7,5.3,0.9,0.3987,90.14,109.0
абсолютивный,6.55,2.4,0.7,2.5,2.8,3.9,8.6,6.1,0.5955,69.06,83.0
метафоризация,6.54,4.8,1.5,1.6,4.3,5.6,6.0,7.5,0.3061,92.21,117.0
диглоссия,6.53,0.0,0.0,2.6,7.6,5.0,6.0,10.3,0.3454,91.25,107.0
обстоятельный,6.53,10.8,21.4,13.0,6.7,3.4,3.4,3.8,0.3104,91.55,120.0
идиш,6.5,1.2,1.0,1.8,1.7,3.1,10.0,2.8,0.6372,75.73,85.0
картвельский,6.5,13.2,3.3,14.1,17.5,3.6,2.7,2.4,0.5678,78.75,89.0
кванторный,6.49,0.0,0.0,2.4,10.1,4.6,6.0,8.0,0.5134,83.28,98.0
метатеза,6.47,1.2,11.3,9.3,5.2,5.8,2.9,1.4,0.4715,76.12,97.0
шотландский,6.44,0.0,1.1,0.7,1.9,3.6,9.4,1.9,0.5931,80.32,96.0
вопросник,6.43,20.3,26.0,9.2,4.8,3.9,3.3,1.4,0.4107,88.01,104.0
гортанный,6.43,6.0,13.1,4.1,3.4,3.9,6.4,4.7,0.5109,85.13,90.0
бесписьменный,6.38,13.2,10.9,8.3,6.5,4.0,4.7,2.8,0.42100000000000004,90.07,104.0
гетерогенность,6.26,0.0,1.5,1.9,10.4,4.1,6.1,4.2,0.3837,88.8,114.0
монофтонг,6.25,1.2,4.6,3.7,4.8,5.6,4.7,2.4,0.5312,84.11,84.0
семантизация,6.21,0.0,1.1,5.5,7.5,5.3,4.5,0.5,0.2298,94.11,118.0
дентальный,6.17,0.0,3.1,4.4,5.8,4.2,6.1,1.9,0.4313,88.51,108.0
референтность,6.14,0.0,0.0,4.9,5.2,4.2,6.3,6.6,0.4763,86.28,101.0
адъективация,6.11,2.4,2.0,9.2,3.6,6.2,3.1,0.0,0.5257,84.27,97.0
